query,last7_clicks,last7_impressions,last7_ctr,last7_position,prev7_clicks,prev7_impressions,prev7_ctr,prev7_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,last14_clicks,last14_impressions,last14_ctr,last14_position,prev14_clicks,prev14_impressions,prev14_ctr,prev14_position,w14_clicks_change,w14_clicks_change_pct,w14_impressions_change,w14_impressions_change_pct,w14_ctr_change,w14_position_change,w14_position_direction,w14_status,topic,language,is_brand,last7_period,prev7_period
заказать таргетинговую рекламу,0.0,0.0,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,10.0,0,2,0.0,10.0,0,,-1,-50.0,0.0,0.0,stable,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
біржа реклама в телеграм,0.0,0.0,,,0.0,2.0,0.0,36.5,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,36.5,0,1,0.0,35.0,0,,1,100.0,0.0,1.5,worsened,both,telegram_ads,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
в ташкенте,0.0,0.0,,,0.0,1.0,0.0,2.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,2.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ии для обработки заявок,0.0,0.0,,,0.0,1.0,0.0,88.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,88.0,0,3,0.0,90.33,0,,-2,-66.7,0.0,-2.33,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
вебмастер продвижение сайтов,0.0,0.0,,,0.0,1.0,0.0,18.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,18.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ватсап бот для бизнеса бесплатно,0.0,0.0,,,0.0,2.0,0.0,25.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,25.0,0,6,0.0,23.33,0,,-4,-66.7,0.0,1.67,worsened,both,whatsapp_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
заказать таргетинг,0.0,0.0,,,0.0,1.0,0.0,5.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,5.0,0,1,0.0,10.0,0,,0,0.0,0.0,-5.0,improved,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ведение соцсетей,0.0,0.0,,,0.0,1.0,0.0,14.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,14.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
заказать таргет,0.0,0.0,,,0.0,1.0,0.0,4.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,4.0,0,1,0.0,10.0,0,,0,0.0,0.0,-6.0,improved,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
ведение соцсетей под ключ,0.0,0.0,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,8.0,0,0,,,0,,1,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
влияет медленное размещение описание сайта на продвижение,0.0,0.0,,,0.0,1.0,0.0,67.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,67.0,0,3,0.0,69.67,0,,-2,-66.7,0.0,-2.67,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
все о продвижении сайта в сео,0.0,0.0,,,0.0,1.0,0.0,85.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,85.0,0,1,0.0,88.0,0,,0,0.0,0.0,-3.0,improved,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
где директ в инстаграме через компьютер,0.0,0.0,,,0.0,1.0,0.0,79.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,79.0,0,0,,,0,,1,,0.0,,n/a,new,instagram_bots,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
заказать рекламу в интернете,0.0,0.0,,,0.0,1.0,0.0,28.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,28.0,0,0,,,0,,1,,0.0,,n/a,new,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
гугл бизнес сайт,0.0,0.0,,,0.0,1.0,0.0,77.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,77.0,0,0,,,0,,1,,0.0,,n/a,new,webdev,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
диджитал агентство,0.0,0.0,,,0.0,4.0,0.0,29.0,0.0,,-4.0,-100.0,0.0,,n/a,lost,0,4,0.0,29.0,0,1,0.0,30.0,0,,3,300.0,0.0,-1.0,improved,both,digital_marketing,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
договор на оказание услуг смм,0.0,0.0,,,0.0,1.0,0.0,6.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,6.0,0,0,,,0,,1,,0.0,,n/a,new,smm,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
интернет продвижение сайтов,0.0,0.0,,,0.0,3.0,0.0,26.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,26.67,0,5,0.0,19.8,0,,-2,-40.0,0.0,6.87,worsened,both,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
доработка продвижение сайтов,0.0,0.0,,,0.0,1.0,0.0,33.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,33.0,0,0,,,0,,1,,0.0,,n/a,new,seo,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
жипичат,0.0,0.0,,,0.0,2.0,0.0,5.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,5.0,0,0,,,0,,2,,0.0,,n/a,new,other,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
@cb_survey_a2026_bot,0.0,2.0,0.0,8.0,0.0,0.0,,,0.0,,2.0,,0.0,,n/a,new,0,2,0.0,8.0,0,0,,,0,,2,,0.0,,n/a,new,other,neutral,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
как принимать платежи в телеграм,0.0,0.0,,,0.0,1.0,0.0,6.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,6.0,0,0,,,0,,1,,0.0,,n/a,new,telegram_bots,uz,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
искусственный интеллект для общения,0.0,0.0,,,0.0,1.0,0.0,51.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,51.0,0,1,0.0,65.0,0,,0,0.0,0.0,-14.0,improved,both,ai_general,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лиды что такое,0.0,0.0,,,0.0,3.0,0.0,24.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,24.67,0,7,0.0,25.71,0,,-4,-57.1,0.0,-1.04,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лид в статье это,0.0,0.0,,,0.0,1.0,0.0,78.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,78.0,0,0,,,0,,1,,0.0,,n/a,new,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лид менеджер кто это простыми словами,0.0,0.0,,,0.0,1.0,0.0,42.0,0.0,,-1.0,-100.0,0.0,,n/a,lost,0,1,0.0,42.0,0,0,,,0,,1,,0.0,,n/a,new,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лид определение,0.0,0.0,,,0.0,2.0,0.0,27.0,0.0,,-2.0,-100.0,0.0,,n/a,lost,0,2,0.0,27.0,0,0,,,0,,2,,0.0,,n/a,new,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лид расшифровка,0.0,0.0,,,0.0,6.0,0.0,17.17,0.0,,-6.0,-100.0,0.0,,n/a,lost,0,6,0.0,17.17,0,8,0.0,21.75,0,,-2,-25.0,0.0,-4.58,improved,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
лид реклама,0.0,0.0,,,0.0,3.0,0.0,25.67,0.0,,-3.0,-100.0,0.0,,n/a,lost,0,3,0.0,25.67,0,7,0.0,24.29,0,,-4,-57.1,0.0,1.38,worsened,both,leads_automation,ru,False,2026-09-08..2026-09-14,2026-09-01..2026-09-07
