query,clicks_desktop,clicks_mobile,clicks_tablet,ctr_desktop,ctr_mobile,ctr_tablet,impressions_desktop,impressions_mobile,impressions_tablet,position_desktop,position_mobile,position_tablet,topic,language,position_gap_desktop_minus_mobile,ctr_gap_mobile_minus_desktop
chatgpt ozbekcha,0,2,,0.0,0.0095693779904306,,48,209,,6.208333333333333,5.91866028708134,,chatgpt_online,uz,0.29,0.0096
chatgpt bepul,2,2,0.0,0.0377358490566037,0.0106951871657754,0.0,53,187,1.0,6.6415094339622645,6.197860962566845,6.0,chatgpt_online,uz,0.44,-0.027
chatgpt yozish,1,0,0.0,0.0166666666666666,0.0,0.0,60,181,2.0,9.316666666666666,8.745856353591162,9.5,chatgpt_online,uz,0.57,-0.0167
chat gpt uzbekcha,0,5,0.0,0.0,0.0314465408805031,0.0,19,159,2.0,9.789473684210526,5.79245283018868,6.0,chatgpt_online,uz,4.0,0.0314
chachipiti oʻzbek tilida,0,0,,0.0,0.0,,4,157,,9.0,8.280254777070063,,chatgpt_online,uz,0.72,0.0
чат гпт узбекча,0,3,0.0,0.0,0.0205479452054794,0.0,26,146,4.0,5.769230769230769,5.575342465753424,5.75,chatgpt_online,uz,0.19,0.0205
chatgpt uzbekistan,0,3,,0.0,0.0212765957446808,,20,141,,4.95,4.666666666666666,,chatgpt_online,en,0.28,0.0213
chatgpt skachat uzbek tilida,0,2,,0.0,0.016,,12,125,,7.333333333333333,7.064,,chatgpt_download,uz,0.27,0.016
chatgpt ga kirish,0,0,0.0,0.0,0.0,0.0,3,118,1.0,8.333333333333332,7.97457627118644,9.0,chatgpt_login,uz,0.36,0.0
chatgpt oʻzbekcha,0,2,,0.0,0.017094017094017,,1,117,,7.0,7.0,,chatgpt_online,uz,0.0,0.0171
chatgpt online kirish,0,0,0.0,0.0,0.0,0.0,19,116,1.0,5.0,5.362068965517241,6.0,chatgpt_login,uz,-0.36,0.0
chatgpt 4 uzbek tilida,0,0,,0.0,0.0,,2,110,,9.5,9.10909090909091,,chatgpt_online,uz,0.39,0.0
chatgpt kirish login,0,3,0.0,0.0,0.0275229357798165,0.0,4,109,2.0,7.0,6.165137614678899,6.5,chatgpt_login,uz,0.83,0.0275
chatgpt yuklash,0,1,0.0,0.0,0.0097087378640776,0.0,8,103,6.0,9.0,7.271844660194175,7.5,chatgpt_download,uz,1.73,0.0097
chatgpt oʻzbek tilida,0,2,,0.0,0.0202020202020202,,7,99,,7.714285714285714,6.747474747474747,,chatgpt_online,uz,0.97,0.0202
chatgpt uzbek,0,0,,0.0,0.0,,6,96,,5.166666666666667,6.6875,,chatgpt_online,uz,-1.52,0.0
chatgpt yuklab olish kompyuter uchun,0,0,0.0,0.0,0.0,0.0,37,93,2.0,7.648648648648648,7.021505376344086,7.5,chatgpt_download,uz,0.63,0.0
chatgpt узбекча,0,0,0.0,0.0,0.0,0.0,6,92,1.0,6.0,6.641304347826087,6.0,chatgpt_online,uz,-0.64,0.0
chatgpt uzb,0,2,0.0,0.0,0.0222222222222222,0.0,21,90,1.0,4.285714285714286,5.088888888888889,5.0,chatgpt_online,uz,-0.8,0.0222
chatgpt uzbek tilida skachat,0,0,,0.0,0.0,,11,89,,7.545454545454546,7.685393258426966,,chatgpt_download,uz,-0.14,0.0
chat gpt 4 uzbekistan,0,1,,0.0,0.0128205128205128,,7,78,,6.857142857142857,6.512820512820513,,chatgpt_online,en,0.34,0.0128
onlayn chatgpt,0,0,0.0,0.0,0.0,0.0,16,69,2.0,5.4375,6.304347826086956,5.0,chatgpt_online,uz,-0.87,0.0
chatgpt o'zbekcha,1,0,0.0,0.027027027027027,0.0,0.0,37,68,1.0,6.945945945945946,6.382352941176471,8.0,chatgpt_online,uz,0.56,-0.027
chatgpt скачать uzbek tilida,1,0,0.0,0.1428571428571428,0.0,0.0,7,67,1.0,6.428571428571429,7.044776119402985,6.0,chatgpt_download,uz,-0.62,-0.1429
chatgpt yuklash apk,0,3,0.0,,0.046875,0.0,0,64,1.0,,7.03125,9.0,chatgpt_download,uz,,0.0469
seo продвижение,0,0,,0.0,0.0,,170,58,,60.24117647058824,60.39655172413793,,seo,ru,-0.16,0.0
chatgptga kirish,0,1,0.0,0.0,0.0175438596491228,0.0,6,57,1.0,4.166666666666666,3.6140350877192975,3.0,chatgpt_login,uz,0.55,0.0175
chatgpt uzbekcha tarjimon,0,1,0.0,0.0,0.0188679245283018,0.0,1,53,3.0,6.0,4.754716981132075,4.0,chatgpt_translate,uz,1.25,0.0189
chat gpt uz,0,1,,0.0,0.0208333333333333,,22,48,,4.272727272727273,4.770833333333334,,chatgpt_online,en,-0.5,0.0208
chatgpt õzbekcha,0,0,0.0,,0.0,0.0,0,47,1.0,,7.127659574468085,7.0,chatgpt_online,uz,,0.0
chatgpt ilovasi,0,1,,0.0,0.0227272727272727,,2,44,,9.5,6.477272727272728,,chatgpt_download,uz,3.02,0.0227
chatgpt на узбекском,2,0,,0.0869565217391304,0.0,,23,43,,3.869565217391304,4.767441860465116,,chatgpt_online,ru,-0.9,-0.087
chat gpt uzbek tilida,0,0,,0.0,0.0,,3,41,,6.666666666666667,5.2682926829268295,,chatgpt_online,uz,1.4,0.0
