query,clicks_desktop,clicks_mobile,clicks_tablet,ctr_desktop,ctr_mobile,ctr_tablet,impressions_desktop,impressions_mobile,impressions_tablet,position_desktop,position_mobile,position_tablet,topic,language,position_gap_desktop_minus_mobile,ctr_gap_mobile_minus_desktop
что значит лид в инстаграме в переписке,0,0,,,0.0,,0,3,,,10.0,,instagram_bots,ru,,0.0
лид расшифровка,0,0,,0.0,0.0,,11,3,,24.363636363636363,3.0,,leads_automation,ru,21.36,0.0
telegram ads узбекистан,0,0,,0.0,0.0,,3,3,,50.0,50.0,,telegram_ads,ru,0.0,0.0
click bot telegram,0,0,,,0.0,,0,3,,,9.0,,telegram_bots,en,,0.0
маркетинговый словарь,0,0,,0.0,0.0,,1,3,,22.0,19.666666666666668,,digital_marketing,ru,2.33,0.0
разработка сайтов,1,0,,0.0909090909090909,0.0,,11,3,,41.09090909090909,57.0,,webdev,ru,-15.91,-0.0909
хочу поговорить с искусственным интеллектом,0,0,,,0.0,,0,3,,,7.333333333333333,,ai_general,ru,,0.0
ии менеджер,0,0,,0.0,0.0,,8,3,,56.75,33.333333333333336,,ai_general,ru,23.42,0.0
заказать seo продвижение,0,0,,,0.0,,0,3,,,71.33333333333333,,seo,ru,,0.0
chaji piti,0,0,,0.0,0.0,,2,3,,9.0,7.333333333333333,,chatgpt_online,uz,1.67,0.0
смм под ключ,0,0,,0.0,0.0,,1,3,,1.0,5.0,,smm,ru,-4.0,0.0
сколько платит апгрейд за рекламу,0,0,,,0.0,,0,3,,,7.666666666666667,,digital_marketing,ru,,0.0
интернет продвижение сайтов,0,0,,0.0,0.0,,5,3,,26.8,15.0,,seo,ru,11.8,0.0
chatgpt savol javob,0,0,,,0.0,,0,3,,,3.6666666666666665,,chatgpt_online,uz,,0.0
python telegram bot,0,0,,,0.0,,0,3,,,34.333333333333336,,telegram_bots,en,,0.0
seo продвижение цена,0,0,,0.0,0.0,,4,3,,10.5,15.0,,seo,ru,-4.5,0.0
чат гпт узбек тилида,0,1,,0.0,0.3333333333333333,,4,3,,8.0,4.666666666666666,,chatgpt_online,uz,3.33,0.3333
что означает gpt в chatgpt,0,0,,0.0,0.0,,3,3,,8.333333333333332,9.333333333333334,,chatgpt_online,ru,-1.0,0.0
как пообщаться с искусственным интеллектом,0,0,,0.0,0.0,,2,3,,54.5,10.0,,ai_general,ru,44.5,0.0
ai продавец,0,0,,0.0,0.0,,6,3,,29.5,18.0,,chatbot_dev,ru,11.5,0.0
что такое lead,0,0,,,0.0,,0,3,,,21.0,,leads_automation,ru,,0.0
продвижение с оплатой за лиды,0,0,,0.0,0.0,,1,3,,41.0,50.66666666666666,,leads_automation,ru,-9.67,0.0
лиды что это,0,0,,0.0,0.0,,10,3,,36.4,31.0,,leads_automation,ru,5.4,0.0
автоматизация приема заявок,0,0,,0.0,0.0,,24,3,,46.0,29.0,,leads_automation,ru,17.0,0.0
что такое сео продвижение сайта,0,0,,0.0,0.0,,1,3,,59.0,59.66666666666666,,seo,ru,-0.67,0.0
лиды это что такое,0,0,,0.0,0.0,,1,3,,28.0,28.666666666666668,,leads_automation,ru,-0.67,0.0
sayt yaratish xizmati,0,0,,0.0,0.0,,6,3,,73.33333333333333,69.0,,webdev,neutral,4.33,0.0
smm nima,0,0,,0.0,0.0,,4,3,,43.25,38.0,,smm,uz,5.25,0.0
лид это в продажах,0,0,,,0.0,,0,3,,,28.666666666666668,,leads_automation,ru,,0.0
создание сайта для бизнеса,0,0,,0.0,0.0,,4,3,,25.5,25.33333333333333,,webdev,ru,0.17,0.0
услуги смм специалиста что входит,0,0,,,0.0,,0,3,,,21.666666666666668,,smm,ru,,0.0
интернет маркетинг оплата за лиды,0,0,,0.0,0.0,,2,2,,37.5,38.5,,leads_automation,ru,-1.0,0.0
seo ташкент,0,0,,0.0,0.0,,28,2,,37.10714285714285,54.5,,seo,ru,-17.39,0.0
чачи пити сайт,0,0,,,0.0,,0,2,,,10.0,,chatgpt_online,uz,,0.0
цена за лид,0,0,,0.0,0.0,,2,2,,54.5,55.0,,leads_automation,ru,-0.5,0.0
сколько стоит бот,0,0,,0.0,0.0,,1,2,,17.0,17.0,,chatbot_dev,ru,0.0,0.0
как объяснить чату gpt,0,0,,,0.0,,0,2,,,6.0,,chatgpt_online,ru,,0.0
chat gpt 4 uzbek tilida,0,0,,,0.0,,0,2,,,10.0,,chatgpt_online,uz,,0.0
хочу пообщаться с искусственным интеллектом,0,0,,,0.0,,0,2,,,5.0,,ai_general,ru,,0.0
как поговорить с ии,0,1,,,0.5,,0,2,,,14.5,,ai_general,ru,,0.5
chat gpt kodlari,0,0,,,0.0,,0,2,,,6.5,,chatgpt_online,en,,0.0
лиды в продажах что это,0,0,,,0.0,,0,2,,,33.0,,leads_automation,ru,,0.0
онлайн,0,0,,,0.0,,0,2,,,7.0,,other,ru,,0.0
услуги специалиста smm,0,0,,,0.0,,0,2,,,16.0,,smm,ru,,0.0
поддержка telegram,0,0,,,0.0,,0,2,,,11.0,,telegram_bots,ru,,0.0
словарь маркетинга,0,0,,,0.0,,0,2,,,26.0,,digital_marketing,ru,,0.0
что такое лид в рекламе,0,0,,,0.0,,0,2,,,17.0,,leads_automation,ru,,0.0
стоимость продвижения,0,0,,,0.0,,0,2,,,35.0,,seo,ru,,0.0
я в узбекистане,0,0,,,0.0,,0,2,,,1.5,,other,ru,,0.0
аи менеджер,0,0,,0.0,0.0,,4,2,,36.0,7.0,,other,ru,29.0,0.0
автоматизация продажи товаров,0,0,,0.0,0.0,,2,2,,20.5,29.5,,leads_automation,ru,-9.0,0.0
термины в маркетинге,0,0,,,0.0,,0,2,,,29.0,,digital_marketing,ru,,0.0
создание сайтов для бизнеса,0,0,,,0.0,,0,2,,,151.0,,webdev,ru,,0.0
узбек тилида,0,0,,,0.0,,0,2,,,1.5,,other,uz,,0.0
что такое лиды в продажах простыми словами,0,0,,0.0,0.0,,1,2,,36.0,32.0,,leads_automation,ru,4.0,0.0
пообщаться с ии,0,0,0.0,0.0,0.0,0.0,1,2,2.0,8.0,7.5,7.0,ai_general,ru,0.5,0.0
смм услуги,0,0,,0.0,0.0,,1,2,,19.0,9.0,,smm,ru,10.0,0.0
userbox бот стоимость,0,0,,,0.0,,0,2,,,53.0,,chatbot_dev,ru,,0.0
telegram bot api python,0,0,,,0.0,,0,2,,,44.5,,telegram_bots,en,,0.0
chachipiti yuklash,0,0,,,0.0,,0,2,,,9.0,,chatgpt_download,uz,,0.0
жажи пити,0,0,,,0.0,,0,2,,,8.5,,other,uz,,0.0
что такое лид в коммерческом предложении сдо ржд,0,0,,0.0,0.0,,17,2,,38.588235294117645,48.0,,leads_automation,ru,-9.41,0.0
что такое лид в коммерческом предложении,0,0,,0.0,0.0,,17,2,,21.41176470588235,24.0,,leads_automation,ru,-2.59,0.0
al chat что это,0,0,,0.0,0.0,,1,2,,11.0,10.5,,other,ru,0.5,0.0
поддержка телеграмм бот,0,0,,,0.0,,0,2,,,9.0,,telegram_bots,ru,,0.0
что такое smm продвижение,0,0,,0.0,0.0,,4,2,,17.0,27.0,,smm,ru,-10.0,0.0
как расшифровывается gpt chat,0,0,0.0,,0.0,0.0,0,2,1.0,,10.5,11.0,chatgpt_online,ru,,0.0
словарь терминов по маркетингу,0,0,,,0.0,,0,2,,,29.5,,digital_marketing,ru,,0.0
услуги смм специалиста,0,0,0.0,0.0,0.0,0.0,75,2,1.0,9.346666666666666,5.0,9.0,smm,ru,4.35,0.0
словарь терминов маркетинг,0,0,,,0.0,,0,2,,,28.0,,digital_marketing,ru,,0.0
cakecity,0,0,,,0.0,,0,2,,,7.0,,other,neutral,,0.0
seo продвижение сайта цена,0,0,,0.0,0.0,,3,2,,17.666666666666668,17.0,,seo,ru,0.67,0.0
бот для инстаграм директ,0,0,,0.0,0.0,,52,2,,21.115384615384617,5.5,,instagram_bots,ru,15.62,0.0
лид как расшифровывается,0,0,,,0.0,,0,2,,,1.0,,leads_automation,ru,,0.0
чат жпп,0,0,,,0.0,,0,2,,,4.0,,other,ru,,0.0
чем ты отличаешься от чата gpt,0,0,,0.0,0.0,,4,2,,9.5,5.0,,chatgpt_online,ru,4.5,0.0
чат нат,0,0,,,0.0,,0,2,,,6.5,,other,ru,,0.0
маркетинговый словарь терминов,0,0,,,0.0,,0,2,,,27.0,,digital_marketing,ru,,0.0
chatgpt sayt,0,0,,0.0,0.0,,1,2,,10.0,5.5,,chatgpt_online,neutral,4.5,0.0
sayt yaratish,0,0,,0.0,0.0,,5,2,,41.0,29.5,,webdev,neutral,11.5,0.0
маркетинговые термины,0,0,,,0.0,,0,2,,,22.0,,digital_marketing,ru,,0.0
что значит лид,0,0,,0.0,0.0,,1,2,,28.0,30.5,,leads_automation,ru,-2.5,0.0
chatgpt yuklash uzbek tilida,1,0,,0.25,0.0,,4,2,,4.0,5.0,,chatgpt_download,uz,-1.0,-0.25
лид в таргете это,0,0,,0.0,0.0,,3,2,,33.333333333333336,4.0,,leads_automation,ru,29.33,0.0
chatgpt онлайн,0,0,,0.0,0.0,,3,2,,6.333333333333333,4.0,,chatgpt_online,ru,2.33,0.0
payme telegram,0,0,,,0.0,,0,2,,,10.0,,telegram_bots,neutral,,0.0
лид что это такое,0,0,,,0.0,,0,2,,,27.0,,leads_automation,ru,,0.0
лид что это,0,0,,0.0,0.0,,4,2,,27.25,29.5,,leads_automation,ru,-2.25,0.0
cnat gpt,0,0,,0.0,0.0,,1,2,,8.0,6.0,,chatgpt_online,neutral,2.0,0.0
marketing,0,0,,0.0,0.0,,4,2,,45.25,43.0,,digital_marketing,neutral,2.25,0.0
marketing kit,0,0,,,0.0,,0,2,,,29.0,,digital_marketing,neutral,,0.0
oddiy so'rov uzbek tilida,0,0,,0.0,0.0,,4,2,,10.75,9.5,,other,uz,1.25,0.0
чат юрт,0,0,,,0.0,,0,2,,,6.0,,other,ru,,0.0
что значит лиды,0,0,,,0.0,,0,2,,,29.0,,leads_automation,ru,,0.0
чат жпс,0,0,,,0.0,,0,2,,,6.0,,other,ru,,0.0
сделать маркетинг кит,0,0,,,0.0,,0,2,,,26.0,,digital_marketing,ru,,0.0
chatgpt biznes,0,0,,,0.0,,0,2,,,6.0,,chatgpt_online,uz,,0.0
чат ж пити,0,0,,,0.0,,0,2,,,8.5,,other,uz,,0.0
чати пити онлайн,0,0,,,0.0,,0,2,,,7.0,,other,uz,,0.0
чат жип,0,0,,,0.0,,0,2,,,6.5,,other,ru,,0.0
чат гпт,0,0,,,0.0,,0,2,,,7.0,,chatgpt_online,ru,,0.0
лиды в маркетинге,0,0,,0.0,0.0,,3,2,,13.0,18.0,,leads_automation,ru,-5.0,0.0
расшифровка gpt,0,0,,,0.0,,0,2,,,11.0,,chatgpt_online,ru,,0.0
капитал банк узбекистан,0,0,,,0.0,,0,2,,,3.0,,other,ru,,0.0
gpt для учебы,0,0,,0.0,0.0,,5,2,,20.0,21.0,,chatgpt_online,ru,-1.0,0.0
gpt расшифровка,0,0,,0.0,0.0,,1,2,,14.0,10.0,,chatgpt_online,ru,4.0,0.0
общатся с ии,0,0,,,0.0,,0,2,,,9.5,,ai_general,ru,,0.0
бот для записи на услуги,0,0,,,0.0,,0,1,,,22.0,,chatbot_dev,ru,,0.0
диджитал агентство,0,0,,0.0,0.0,,4,1,,31.75,19.0,,digital_marketing,ru,12.75,0.0
гпт для учебы,0,0,,0.0,0.0,,4,1,,30.75,43.0,,chatgpt_online,ru,-12.25,0.0
маркетинг кит купить,0,0,,,0.0,,0,1,,,29.0,,digital_marketing,ru,,0.0
маркетинг кит компании,0,0,,0.0,0.0,,6,1,,28.33333333333333,30.0,,digital_marketing,ru,-1.67,0.0
стр п чат,0,0,,,0.0,,0,1,,,7.0,,other,ru,,0.0
пообщаться с искусственным интеллектом,0,0,,,0.0,,0,1,,,2.0,,ai_general,ru,,0.0
лиды в продажах это,0,0,,,0.0,,0,1,,,34.0,,leads_automation,ru,,0.0
дай ссылку на чат gpt,0,0,,,0.0,,0,1,,,8.0,,chatgpt_online,ru,,0.0
продвижение сайта по позициям это,0,0,,0.0,0.0,,1,1,,58.0,58.0,,seo,ru,0.0,0.0
гпт чат,0,0,,,0.0,,0,1,,,3.0,,chatgpt_online,ru,,0.0
ташкент,0,0,,,0.0,,0,1,,,55.0,,other,ru,,0.0
в ташкенте,0,0,,,0.0,,0,1,,,2.0,,other,ru,,0.0
создать маркетинг кит,0,0,,,0.0,,0,1,,,28.0,,digital_marketing,ru,,0.0
голосовой чат с ии,0,0,,,0.0,,0,1,,,24.0,,ai_general,ru,,0.0
в чатах,0,0,,,0.0,,0,1,,,2.0,,other,ru,,0.0
продвижение сайта информация,0,0,,0.0,0.0,,2,1,,89.0,86.0,,seo,ru,3.0,0.0
маркетинг кит,0,0,,0.0,0.0,,1,1,,36.0,26.0,,digital_marketing,ru,10.0,0.0
разработка сайтов ташкент,0,0,,,0.0,,0,1,,,56.0,,webdev,ru,,0.0
прайс лист смм специалиста,0,0,,0.0,0.0,,1,1,,28.0,30.0,,smm,ru,-2.0,0.0
голосовой бот для бизнеса,0,0,,,0.0,,0,1,,,79.0,,chatbot_dev,ru,,0.0
лиды это что в продажах,0,0,,,0.0,,0,1,,,44.0,,leads_automation,ru,,0.0
продажа лидов это,0,0,,,0.0,,0,1,,,89.0,,leads_automation,ru,,0.0
разработка сайтов в ташкенте цены,0,0,,0.0,0.0,,2,1,,60.5,44.0,,webdev,ru,16.5,0.0
создание сайтов под ключ,0,0,,0.0,0.0,,2,1,,31.0,22.0,,webdev,ru,9.0,0.0
расшифровка smm,0,0,,,0.0,,0,1,,,9.0,,smm,ru,,0.0
лиды это в продажах,0,0,,,0.0,,0,1,,,35.0,,leads_automation,ru,,0.0
лид єто,0,0,,,0.0,,0,1,,,30.0,,leads_automation,ru,,0.0
лиды что это такое,0,0,,,0.0,,0,1,,,31.0,,leads_automation,ru,,0.0
подписка чат gpt цена,0,0,,,0.0,,0,1,,,3.0,,chatgpt_payment,ru,,0.0
как расшифровывается чат gpt,0,0,,,0.0,,0,1,,,9.0,,chatgpt_online,ru,,0.0
лид определение,0,0,,0.0,0.0,,1,1,,27.0,27.0,,leads_automation,ru,0.0,0.0
квалификация лида,0,0,,,0.0,,0,1,,,60.0,,leads_automation,ru,,0.0
менеджер ии это,0,0,,,0.0,,0,1,,,11.0,,ai_general,ru,,0.0
как им пользоваться,0,0,,,0.0,,0,1,,,1.0,,other,ru,,0.0
как найти диалог с ии,0,0,,,0.0,,0,1,,,9.0,,ai_general,ru,,0.0
как оплатить,0,0,,,0.0,,0,1,,,1.0,,other,ru,,0.0
как перевести чат gpt на русский,0,0,,0.0,0.0,,1,1,,8.0,1.0,,chatgpt_online,ru,7.0,0.0
классификация лидов,0,0,,,0.0,,0,1,,,22.0,,leads_automation,ru,,0.0
квалификация лидов,0,0,,,0.0,,0,1,,,52.0,,leads_automation,ru,,0.0
разработка маркетинг кита,0,0,,0.0,0.0,,1,1,,38.0,22.0,,digital_marketing,ru,16.0,0.0
обработка лидов это,0,0,,0.0,0.0,,1,1,,8.0,10.0,,leads_automation,ru,-2.0,0.0
медицинский ии бот,0,0,,,0.0,,0,1,,,3.0,,chatbot_dev,ru,,0.0
обсудить с ии,0,0,,,0.0,,0,1,,,1.0,,ai_general,ru,,0.0
качественный лид это,0,0,,,0.0,,0,1,,,42.0,,leads_automation,ru,,0.0
онлайн chatgpt,0,0,,,0.0,,0,1,,,6.0,,chatgpt_online,ru,,0.0
1,0,0,,,0.0,,0,1,,,4.0,,other,neutral,,0.0
какие есть чаты с искусственным интеллектом,0,0,,,0.0,,0,1,,,5.0,,ai_general,ru,,0.0
пщтп,0,0,,,0.0,,0,1,,,9.0,,other,ru,,0.0
общение с ии,0,0,,0.0,0.0,,2,1,,51.5,85.0,,ai_general,ru,-33.5,0.0
какие бывают лиды,0,0,,,0.0,,0,1,,,27.0,,leads_automation,ru,,0.0
искусственный интеллект на узбекском языке,0,0,,,0.0,,0,1,,,10.0,,ai_general,ru,,0.0
сколько стоит таргет,0,0,,,0.0,,0,1,,,8.0,,digital_marketing,ru,,0.0
подписка гпт,0,0,,,0.0,,0,1,,,3.0,,chatgpt_payment,ru,,0.0
маркетинговая терминология,0,0,,,0.0,,0,1,,,29.0,,digital_marketing,ru,,0.0
разработка сайта цена,0,0,,,0.0,,0,1,,,12.0,,webdev,ru,,0.0
жипичат,0,0,,0.0,0.0,,1,1,,5.0,5.0,,other,ru,0.0,0.0
лид маркетинг,0,0,,,0.0,,0,1,,,12.0,,leads_automation,ru,,0.0
смм специалист услуги,0,0,,,0.0,,0,1,,,11.0,,smm,ru,,0.0
смм расшифровка,0,0,,,0.0,,0,1,,,9.0,,smm,ru,,0.0
разговор с ии,0,0,,0.0,0.0,,1,1,,45.0,50.0,,ai_general,ru,-5.0,0.0
смм продвижение это,0,0,,0.0,0.0,,2,1,,13.0,32.0,,smm,ru,-19.0,0.0
лид инстаграм что это,0,0,,,0.0,,0,1,,,8.0,,instagram_bots,ru,,0.0
смм в ташкенте,0,0,,,0.0,,0,1,,,13.0,,smm,ru,,0.0
словарь в маркетинге,0,0,,,0.0,,0,1,,,24.0,,digital_marketing,ru,,0.0
подбери ссылки,0,0,,,0.0,,0,1,,,4.0,,other,ru,,0.0
основные термины маркетинга,0,0,,,0.0,,0,1,,,30.0,,digital_marketing,ru,,0.0
оплатить chatgpt plus,0,0,,,0.0,,0,1,,,4.0,,chatgpt_payment,ru,,0.0
лид в продажах это,0,0,,0.0,0.0,,2,1,,38.0,33.0,,leads_automation,ru,5.0,0.0
лид аббревиатура,0,0,,0.0,0.0,,1,1,,26.0,27.0,,leads_automation,ru,-1.0,0.0
продвижения сео,0,0,,0.0,0.0,,1,1,,88.0,93.0,,seo,ru,-5.0,0.0
лендинг или интернет магазин что лучше,0,0,,,0.0,,0,1,,,27.0,,webdev,ru,,0.0
сайты под ключ,0,0,,0.0,0.0,,1,1,,16.0,11.0,,webdev,ru,5.0,0.0
как пользоваться gpt бесплатно,0,0,,0.0,0.0,,1,1,,7.0,9.0,,chatgpt_online,ru,-2.0,0.0
япт джпт,0,0,,,0.0,,0,1,,,8.0,,chatgpt_online,ru,,0.0
бот для записи на прием,0,0,,,0.0,,0,1,,,30.0,,chatbot_dev,ru,,0.0
instagramda eng ko'p obunachi kimda,0,0,,0.0,0.0,,1,1,,25.0,29.0,,instagram_bots,uz,-4.0,0.0
marketing nima,0,0,,0.0,0.0,,5,1,,17.4,21.0,,digital_marketing,uz,-3.6,0.0
lid это,0,0,,0.0,0.0,,3,1,,11.0,10.0,,other,ru,1.0,0.0
lead что это,0,0,,,0.0,,0,1,,,81.0,,leads_automation,ru,,0.0
lchat hpt,0,0,,,0.0,,0,1,,,4.0,,other,neutral,,0.0
jipi chat,0,0,,,0.0,,0,1,,,11.0,,other,en,,0.0
jatgbt,0,0,,0.0,0.0,,1,1,,4.0,5.0,,other,neutral,-1.0,0.0
jajipiti,0,0,,,0.0,,0,1,,,10.0,,chatgpt_online,uz,,0.0
instagram chi,0,0,,,0.0,,0,1,,,3.0,,instagram_bots,neutral,,0.0
direct nima,0,0,,,0.0,,0,1,,,9.0,,instagram_bots,uz,,0.0
instachi,0,0,,,0.0,,0,1,,,2.0,,other,neutral,,0.0
gpt чат онлайн,0,0,,,0.0,,0,1,,,12.0,,chatgpt_online,ru,,0.0
gpt оплата,0,0,,,0.0,,0,1,,,2.0,,chatgpt_payment,ru,,0.0
gpt написать текст,0,0,,,0.0,,0,1,,,65.0,,chatgpt_online,ru,,0.0
чать,0,0,,0.0,0.0,,8,1,,7.125,10.0,,other,ru,-2.88,0.0
gpat gpt,0,0,,,0.0,,0,1,,,10.0,,chatgpt_online,neutral,,0.0
google ads and seo,0,0,,,0.0,,0,1,,,9.0,,seo,neutral,,0.0
marketing nima uchun kerak,0,0,,,0.0,,0,1,,,10.0,,digital_marketing,uz,,0.0
marketing nma,0,0,,,0.0,,0,1,,,10.0,,digital_marketing,neutral,,0.0
online,0,0,,,0.0,,0,1,,,4.0,,other,en,,0.0
online chatgpt,0,0,,,0.0,,0,1,,,6.0,,chatgpt_online,en,,0.0
хостинг телеграм бота,0,0,,,0.0,,0,1,,,11.0,,telegram_bots,ru,,0.0
хочу поговорить с ии,0,0,,,0.0,,0,1,,,11.0,,ai_general,ru,,0.0
чажи пит,0,0,,,0.0,,0,1,,,6.0,,other,ru,,0.0
чат gpt как расшифровывается,0,0,,,0.0,,0,1,,,11.0,,chatgpt_online,ru,,0.0
seo продвижение в ташкенте,0,0,,0.0,0.0,,1,1,,44.0,74.0,,seo,ru,-30.0,0.0
seo оптимизация ташкент,0,0,,0.0,0.0,,1,1,,44.0,52.0,,seo,ru,-8.0,0.0
чат нбт,0,0,,,0.0,,0,1,,,6.0,,other,ru,,0.0
seo xizmati,0,0,,0.0,0.0,,2,1,,14.5,34.0,,seo,neutral,-19.5,0.0
чат прт,0,0,,0.0,0.0,,1,1,,8.0,5.0,,other,ru,3.0,0.0
чат эпт,0,0,,0.0,0.0,,2,1,,8.0,6.0,,other,ru,2.0,0.0
телеграм адс цена,0,0,,0.0,0.0,,1,1,,5.0,5.0,,telegram_bots,ru,0.0,0.0
salon bot,0,0,,,0.0,,0,1,,,6.0,,chatbot_dev,en,,0.0
qayerdan yuklab olsam buladi,0,0,,,0.0,,0,1,,,3.0,,other,uz,,0.0
performance marketing,0,0,,,0.0,,0,1,,,9.0,,digital_marketing,neutral,,0.0
open ai это,0,0,,,0.0,,0,1,,,3.0,,ai_general,ru,,0.0
direct nima degani,0,0,,,0.0,,0,1,,,9.0,,instagram_bots,uz,,0.0
crm with chatbot,0,0,,0.0,0.0,,1,1,,70.0,71.0,,chatbot_dev,en,-1.0,0.0
seo продвижения,0,0,,,0.0,,0,1,,,57.0,,seo,ru,,0.0
bepul sayt yaratish,0,0,,,0.0,,0,1,,,10.0,,webdev,uz,,0.0
что означает лид,0,0,,,0.0,,0,1,,,32.0,,leads_automation,ru,,0.0
chat gpt на узбекском языке,0,0,,,0.0,,0,1,,,3.0,,chatgpt_online,ru,,0.0
что означает лид в инстаграме,0,0,,,0.0,,0,1,,,10.0,,instagram_bots,ru,,0.0
chachi piti uzbek tilida,0,0,,,0.0,,0,1,,,9.0,,chatgpt_online,uz,,0.0
cajgbt,0,0,,,0.0,,0,1,,,2.0,,other,neutral,,0.0
botlar,0,0,,,0.0,,0,1,,,6.0,,other,neutral,,0.0
bitrich ai bot,0,0,,,0.0,,0,1,,,9.0,,chatbot_dev,en,,0.0
что такое лид в маркетинге,0,0,,0.0,0.0,,3,1,,20.666666666666668,23.0,,leads_automation,ru,-2.33,0.0
чем отличается ии от чата gpt,0,0,,,0.0,,0,1,,,10.0,,chatgpt_online,ru,,0.0
что такое лид в продажах,0,0,,0.0,0.0,,1,1,,11.0,86.0,,leads_automation,ru,-75.0,0.0
ai67963,0,0,,0.0,0.0,,1,1,,10.0,10.0,,other,neutral,0.0,0.0
что такое лиды в интернет маркетинге,0,0,,,0.0,,0,1,,,26.0,,leads_automation,ru,,0.0
что такое лиды в интернете,0,0,,,0.0,,0,1,,,42.0,,leads_automation,ru,,0.0
что такое лиды в рекламе,0,0,,0.0,0.0,,2,1,,28.0,23.0,,leads_automation,ru,5.0,0.0
что такое чат gpt простыми словами,0,0,,,0.0,,0,1,,,10.0,,chatgpt_online,ru,,0.0
ai менеджер,0,0,,0.0,0.0,,11,1,,32.45454545454545,32.0,,chatbot_dev,ru,0.45,0.0
chatbot crm,0,0,,0.0,0.0,,1,1,,25.0,25.0,,chatbot_dev,neutral,0.0,0.0
chatgpt bilan gaplashish,0,0,,0.0,0.0,,1,1,,9.0,8.0,,chatgpt_online,uz,1.0,0.0
chatgpt gaplashish,0,0,,,0.0,,0,1,,,8.0,,chatgpt_online,uz,,0.0
chatgpt ishlatish,0,0,,,0.0,,0,1,,,6.0,,chatgpt_online,neutral,,0.0
чжбт,0,0,,,0.0,,0,1,,,8.0,,other,ru,,0.0
что делать если не принимают заявку в xrp38,0,0,,,0.0,,0,1,,,2.0,,leads_automation,uz,,0.0
что значит лид в инстаграме,0,0,,,0.0,,0,1,,,11.0,,instagram_bots,ru,,0.0
cpa cpl,0,0,,0.0,0.0,,1,1,,44.0,42.0,,other,neutral,2.0,0.0
claude uzbekistan,0,0,,,0.0,,0,1,,,10.0,,other,en,,0.0
cjattp,0,0,,,0.0,,0,1,,,5.0,,other,neutral,,0.0
chpjt,0,1,,,1.0,,0,1,,,3.0,,chatgpt_online,uz,,1.0
chatgpt узбекистан,0,1,,0.0,1.0,,2,1,,5.5,8.0,,chatgpt_online,ru,-2.5,1.0
chatgpt оплата,0,0,,,0.0,,0,1,,,3.0,,chatgpt_payment,ru,,0.0
chatgpt yo,0,0,,,0.0,,0,1,,,8.0,,chatgpt_online,neutral,,0.0
chatgpt tekin versiyasi,0,0,,,0.0,,0,1,,,7.0,,chatgpt_online,uz,,0.0
chatgpt promptlari,0,0,,,0.0,,0,1,,,5.0,,chatgpt_prompts,neutral,,0.0
что значит пометка лид в инстаграм,0,0,,,0.0,,0,1,,,10.0,,instagram_bots,ru,,0.0
chatgpt online chat,0,0,,,0.0,,0,1,,,4.0,,chatgpt_online,en,,0.0
chatgpt online,0,0,,,0.0,,0,1,,,3.0,,chatgpt_online,en,,0.0
seo продвижению,0,0,,0.0,0.0,,1,1,,48.0,56.0,,seo,ru,-8.0,0.0
услуги смм,0,0,,,0.0,,0,1,,,8.0,,smm,ru,,0.0
аудит digital маркетинга,0,0,,0.0,0.0,,17,1,,9.117647058823527,2.0,,digital_marketing,ru,7.12,0.0
target reklama,0,0,,,0.0,,0,1,,,12.0,,digital_marketing,neutral,,0.0
аудит воронки продаж,0,0,,0.0,0.0,,1,1,,68.0,69.0,,leads_automation,ru,-1.0,0.0
shu haqda maʼlumot,0,0,,,0.0,,0,1,,,1.0,,other,neutral,,0.0
smm,0,0,,,0.0,,0,1,,,10.0,,smm,neutral,,0.0
smm mutaxassisi,0,0,,,0.0,,0,1,,,46.0,,smm,neutral,,0.0
smm tashkent,0,0,,,0.0,,0,1,,,13.0,,smm,en,,0.0
smm xizmati,0,0,,0.0,0.0,,7,1,,48.0,53.0,,smm,neutral,-5.0,0.0
smm на русском,0,0,,0.0,0.0,,1,1,,8.0,9.0,,smm,ru,-1.0,0.0
термин лид,0,0,,0.0,0.0,,1,1,,27.0,26.0,,leads_automation,ru,1.0,0.0
терминология маркетинга,0,0,,,0.0,,0,1,,,29.0,,digital_marketing,ru,,0.0
автоматизация продаж с помощью ии,0,0,,,0.0,,0,1,,,17.0,,leads_automation,ru,,0.0
термины используемые в маркетинге,0,0,,,0.0,,0,1,,,28.0,,digital_marketing,ru,,0.0
telegram ads цена,0,0,,,0.0,,0,1,,,2.0,,telegram_ads,ru,,0.0
аудит сайта пример,0,0,,0.0,0.0,,1,1,,90.0,98.0,,seo,ru,-8.0,0.0
telegram asd,0,0,,0.0,0.0,,6,1,,2.666666666666667,5.0,,telegram_bots,neutral,-2.33,0.0
uzb,0,0,,,0.0,,0,1,,,2.0,,other,uz,,0.0
автоматизация продаж crm,0,0,,,0.0,,0,1,,,15.0,,leads_automation,ru,,0.0
термины маркетинга и рекламы,0,0,,0.0,0.0,,1,1,,42.0,29.0,,digital_marketing,ru,13.0,0.0
uzb chat,0,0,,,0.0,,0,1,,,9.0,,other,uz,,0.0
термины по маркетингу,0,0,,,0.0,,0,1,,,30.0,,digital_marketing,ru,,0.0
автоматизация заявок,0,0,,0.0,0.0,,3,1,,11.666666666666666,6.0,,leads_automation,ru,5.67,0.0
узбекистондачи,0,0,,,0.0,,0,1,,,1.0,,other,ru,,0.0
а в узбекистане,0,0,,,0.0,,0,1,,,1.0,,other,ru,,0.0
