query,topic,topic_group,language,intent,is_brand,is_local,position_bucket,top_page_28d,pages_ranking_28d,current_clicks,current_impressions,current_ctr,current_position,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change,position_direction,status,is_commercial_modifier,clicks_90d,impressions_90d,ctr_90d,position_90d,clicks_all,impressions_all,position_all,top_page_impressions_28d,current_period,previous_period
chat gpt kirish,chatgpt_login,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,2.0,0,43,0.0,8.093023255813954,0,0,,,0,,43,,0.0,,n/a,new,False,0,43,0.0,8.093023255813954,0,43,8.093023255813954,33.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чати пити узбекча,other,other,uz,unknown,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,1,42,0.0238095238095238,7.095238095238095,0,0,,,1,,42,,0.0238,,n/a,new,False,1,42,0.0238095238095238,7.095238095238095,1,42,7.095238095238095,28.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
жажипити,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,39,0.0,3.5128205128205128,0,0,,,0,,39,,0.0,,n/a,new,False,0,39,0.0,3.5128205128205128,0,39,3.5128205128205128,39.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат джипити узбекча,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,4,38,0.1052631578947368,6.315789473684211,0,0,,,4,,38,,0.1053,,n/a,new,False,4,38,0.1052631578947368,6.315789473684211,4,38,6.315789473684211,38.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chat chipiti online,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,37,0.0,6.297297297297297,0,0,,,0,,37,,0.0,,n/a,new,False,0,37,0.0,6.297297297297297,0,37,6.297297297297297,37.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt skachat qilish,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,0,37,0.0,8.702702702702702,0,0,,,0,,37,,0.0,,n/a,new,False,0,37,0.0,8.702702702702702,0,37,8.702702702702702,37.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt узбек тилида,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,0,35,0.0,7.3428571428571425,0,0,,,0,,35,,0.0,,n/a,new,False,0,35,0.0,7.3428571428571425,0,35,7.3428571428571425,34.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат gpt узбек тилида,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,2.0,0,31,0.0,6.290322580645161,0,0,,,0,,31,,0.0,,n/a,new,False,0,31,0.0,6.290322580645161,0,31,6.290322580645161,26.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
savollarga javoblar beruvchi bot,chatbot_dev,services_bots,uz,commercial_investigation,False,False,4-10,https://gptbot.uz/uz/gpt-bot-biznes-uchun/,1.0,0,26,0.0,8.346153846153847,0,0,,,0,,26,,0.0,,n/a,new,False,0,26,0.0,8.346153846153847,0,26,8.346153846153847,26.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
процент рекламы телеграм от общего рынка рекламы узбекистан,telegram_ads,services_marketing,ru,commercial,False,True,4-10,https://gptbot.uz/ru/telegram-ads-uzbekistan/,1.0,0,26,0.0,8.807692307692307,0,0,,,0,,26,,0.0,,n/a,new,False,0,26,0.0,8.807692307692307,0,26,8.807692307692307,26.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чачи пити узбек тилида,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,1.0,0,26,0.0,7.730769230769231,0,0,,,0,,26,,0.0,,n/a,new,False,0,26,0.0,7.730769230769231,0,26,7.730769230769231,26.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt oʻzbekcha tarjimon,chatgpt_translate,chatgpt_product,uz,informational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,1.0,0,25,0.0,6.04,0,0,,,0,,25,,0.0,,n/a,new,False,0,25,0.0,6.04,0,25,6.04,25.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат бот на заказ ташкент,chatbot_dev,services_bots,ru,commercial,False,True,21-50,https://gptbot.uz/ru/luchshie-razrabotchiki-chat-botov-tashkent/,9.0,0,25,0.0,45.36,0,0,,,0,,25,,0.0,,n/a,new,True,0,25,0.0,45.36,0,25,45.36,13.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
ватсап бот для бизнеса,whatsapp_bots,services_bots,ru,commercial_investigation,False,False,21-50,https://gptbot.uz/ru/whatsapp-bot-dlya-biznesa/,1.0,0,23,0.0,36.65217391304348,0,0,,,0,,23,,0.0,,n/a,new,False,0,23,0.0,36.65217391304348,0,23,36.65217391304348,23.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt o'zbekcha tarjimon,chatgpt_translate,chatgpt_product,uz,informational,False,False,4-10,https://gptbot.uz/uz/gpt-uzbek-tilida/,1.0,0,23,0.0,9.478260869565217,0,0,,,0,,23,,0.0,,n/a,new,False,0,23,0.0,9.478260869565217,0,23,9.478260869565217,23.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
таргет нима,digital_marketing,services_marketing,uz,commercial_investigation,False,False,4-10,https://gptbot.uz/uz/blog/target-reklama-nima/,1.0,0,23,0.0,8.26086956521739,0,0,,,0,,23,,0.0,,n/a,new,False,0,23,0.0,8.26086956521739,0,23,8.26086956521739,23.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат gpt,chatgpt_online,chatgpt_product,ru,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,23,0.0,5.521739130434782,0,0,,,0,,23,,0.0,,n/a,new,False,0,23,0.0,5.521739130434782,0,23,5.521739130434782,23.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
seo в ташкенте,seo,services_web,ru,commercial,False,True,21-50,https://gptbot.uz/ru/seo-prodvizhenie-saytov-tashkent/,1.0,0,22,0.0,45.63636363636363,0,0,,,0,,22,,0.0,,n/a,new,False,0,22,0.0,45.63636363636363,0,22,45.63636363636363,22.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
как оплатить чат gpt в узбекистане,chatgpt_payment,chatgpt_product,ru,informational,False,True,1-3,https://gptbot.uz/ru/blog/kak-oplatit-chatgpt-v-uzbekistane/,2.0,5,22,0.2272727272727272,1.2272727272727273,0,0,,,5,,22,,0.2273,,n/a,new,False,5,22,0.2272727272727272,1.2272727272727273,5,22,1.2272727272727273,22.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgptga,chatgpt_online,chatgpt_product,neutral,transactional,False,False,4-10,https://gptbot.uz/uz/blog/chatgptga-qanday-kirish-mumkin/,1.0,0,22,0.0,6.045454545454546,0,0,,,0,,22,,0.0,,n/a,new,False,0,22,0.0,6.045454545454546,0,22,6.045454545454546,22.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
chatgpt oʻrnatish,chatgpt_download,chatgpt_product,uz,navigational,False,False,4-10,https://gptbot.uz/uz/blog/chatgpt-telefon-va-kompyuterga-yuklab-olish/,1.0,0,21,0.0,8.571428571428571,0,0,,,0,,21,,0.0,,n/a,new,False,0,21,0.0,8.571428571428571,0,21,8.571428571428571,21.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
чат опт,other,other,ru,unknown,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,21,0.0,6.047619047619048,0,0,,,0,,21,,0.0,,n/a,new,False,0,21,0.0,6.047619047619048,0,21,6.047619047619048,21.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
jaji piti bot,chatgpt_online,chatgpt_product,uz,transactional,False,False,4-10,https://gptbot.uz/ru/gpt-chat/,1.0,0,20,0.0,5.75,0,0,,,0,,20,,0.0,,n/a,new,False,0,20,0.0,5.75,0,20,5.75,20.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
гарантированные лиды для рекламы что это,leads_automation,services_bots,ru,informational,False,False,21-50,https://gptbot.uz/ru/blog/chto-takoe-lid-v-marketinge/,1.0,0,20,0.0,39.0,0,0,,,0,,20,,0.0,,n/a,new,False,0,20,0.0,39.0,0,20,39.0,20.0,2026-08-18..2026-09-14,2026-07-21..2026-08-17
