country,current_clicks,current_impressions,current_ctr,current_position,current_clicks_share_pct,current_impressions_share_pct,previous_clicks,previous_impressions,previous_ctr,previous_position,clicks_change,clicks_change_pct,impressions_change,impressions_change_pct,ctr_change,position_change
alb,0.0,2.0,0.0,9.5,0.0,0.0,0.0,1.0,0.0,12.0,0.0,,1.0,100.0,0.0,-2.5
ury,0.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
chl,0.0,2.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,68.0,0.0,,1.0,100.0,0.0,-38.0
bhr,0.0,2.0,0.0,31.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
pan,0.0,2.0,0.0,5.5,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,
mne,0.0,2.0,0.0,6.5,0.0,0.0,0.0,1.0,0.0,9.0,0.0,,1.0,100.0,0.0,-2.5
aus,0.0,2.0,0.0,5.5,0.0,0.0,0.0,4.0,0.0,72.0,0.0,,-2.0,-50.0,0.0,-66.5
blz,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
ven,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,56.0,0.0,,0.0,0.0,0.0,-47.0
cmr,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
uga,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
yem,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,,0.0,0.0,0.0,2.0
col,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
cri,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,95.0,0.0,,0.0,0.0,0.0,-89.0
mrt,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
dom,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
gin,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
isl,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
slv,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,,0.0,0.0,0.0,-19.0
khm,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
lao,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
lby,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
mar,0.0,1.0,0.0,68.0,0.0,0.0,0.0,2.0,0.0,93.5,0.0,,-1.0,-50.0,0.0,-25.5
mmr,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
nzl,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
npl,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,
svn,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,43.5,0.0,,-1.0,-50.0,0.0,-42.5
atg,,,,,,,0.0,2.0,0.0,4.5,0.0,,-2.0,-100.0,,
bol,,,,,,,0.0,2.0,0.0,42.0,0.0,,-2.0,-100.0,,
ecu,,,,,,,0.0,2.0,0.0,91.0,0.0,,-2.0,-100.0,,
grl,,,,,,,0.0,1.0,0.0,24.0,0.0,,-1.0,-100.0,,
hnd,,,,,,,0.0,1.0,0.0,87.0,0.0,,-1.0,-100.0,,
irq,,,,,,,0.0,1.0,0.0,8.0,0.0,,-1.0,-100.0,,
lka,,,,,,,0.0,1.0,0.0,11.0,0.0,,-1.0,-100.0,,
nga,,,,,,,1.0,2.0,0.5,7.5,-1.0,-100.0,-2.0,-100.0,,
syc,,,,,,,0.0,1.0,0.0,10.0,0.0,,-1.0,-100.0,,
